t,a
Catherine de Russie : l'impératrice libertine / Juliette Neels,"Neels, Juliette. Auteur du texte"
La France et la Russie dans l'Europe des XIXe et XXe siècles,"OpenEdition,"
"Géologie de la Russie d'Europe et des montagnes de l'Oural. Vol. II. Troisième partie, Paléontologie ([Reprod.]) / ....b.fre.par Roderick Impey Murchison,... Edouard de Verneuil,... et le comte Alexandre de Keyserling,...","Keyserling, Alexander von"
"Partie septentrionale de la Russie européenne où sont distinguées exactement toutes les provinces, d'après le détail de l'Atlas Russien / par le Sr. Robert de Vaugondy fils","Robert de Vaugondy, Didier (1723-1786). Cartographe"
Écrits personnels. Russie XVIIIe-XXe siècles,"BAGNI, BRUNO"
Écrits personnels. Russie XVIIIe-XXe siècles,"Garros-Castaing, Véronique"
Écrits personnels. Russie XVIIIe-XXe siècles,"Greanaja, Elena"
Écrits personnels. Russie XVIIIe-XXe siècles,"Grecanaja, Elena"
Écrits personnels. Russie XVIIIe-XXe siècles,"Viollet, Catherine"
Écrits personnels. Russie XVIIIe-XXe siècles,"Wirtschafter, Elise K."
La Russie d'aujourd'hui : une perspective sur les investissements étrangers,"Hertzfeld, Jeffrey M."
La Russie d'aujourd'hui : une perspective sur les investissements étrangers,"Neal, Mercedes"
Péninsule de Taman (Russie méridionale),"Müller, Christel"
Péninsule de Taman (Russie méridionale),"Gaïbov, Vassif"
Péninsule de Taman (Russie méridionale),"Gorlov, Youri"
Union européenne - Russie : une relation particulière ?,"Krestiyanov, Alexander"
Union européenne - Russie : une relation particulière ?,"Morel, Pierre"
Union européenne - Russie : une relation particulière ?,"Kasyanov, Rustam"
Union européenne - Russie : une relation particulière ?,"Zigone, Michel"
Union européenne - Russie : une relation particulière ?,"Locatelli, Catherine"
"Le Tambour de Polotsk, épisode de la campagne de Russie en 1812, par M. le chevalier d'Auriol,...","Auriol, Balthazar-Louis d' (Chr)"
"La Russie blanche ou Moscovie divisée suivant l'estendüe des royaumes, duchés, principautés, provinces et peuples qui sont présentement sous la domination du czar de la Russie, connû sous le nom de grand duc de Moscovie / par le Sr. Sanson ; Cordier sculps.","Sanson, Guillaume (1633-1703). Cartographe"
"La Russie blanche ou Moscovie divisée suivant l'estendüe des royaumes, duchés, principautés, provinces et peuples qui sont présentement sous la domination du czar de la Russie, connû sous le nom de grand duc de Moscovie / par le Sr. Sanson ; Cordier sculps.","Cordier, Louis (16..-1711). Graveur"
"La France, l'Angleterre et la Russie dans les temps actuels, et des périls que la politique russe crée à l'Europe / par C.-E.-M**","C.-E.-M** (18..?-18..?),"
"Georges V, roi d'Angleterre et le tsar de Russie [Nicolas II, en pied, se tenant par le bras] : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
Le voyage de M. Poincaré en Russie : le défilé des troupes d'Infanterie : [photographie de presse] / Agence Meurisse,"Agence de presse Meurisse. Agence photographique,"
"La vie militaire en Russie : d'après les ouvrages de Krestovski, Vereschagin et Tchubinski / P. de Pardiellan","Veling, Pierre Guillaume Auguste (1856-19..). Auteur du texte"
Histoire de la neige : la Russie dans la littérature française / Léon Robel,"Robel, Léon. Auteur du texte"
La Russie et l'Occident,"Blackwil, Robert D."
"Mme Marie-Louise Humbers, cantatrice de la cour de Russie et professeur de chant réputé.","Bert, Auguste,"
"Mme Marie-Louise Humbers, cantatrice de la cour de Russie et professeur de chant réputé.","Noel,"
Rire de l’histoire et comique absolu : la Sainte Russie de Gustave Doré,"Vaillant, Alain"
Aperçu des découvertes géographiques dans la Russie d'Asie (Extrait de M. Metchnikof.) (suite),"Veniukoff, M."
2. La réforme de l'administration locale en Russie : un point de vue,"Odintsova, Alexandra"
La Hovanščina et la crise financière de la Russie moscovite : La notion de crise et l'histoire de la Moscovie,"Lavrov, Aleksandr"
Sur les Kamennya baby de la Russie méridionale et la déesse mère,"Zaborowski,"
"Ecrire, lire, éditer le journal personnel (Russie XIXe-XXIe siècles)","Équipe de recherche Fabula,"
La Russie et l'Europe en 1918,"Narotchnizky, A.L."
Malaise dans la culture juridique libérale en Russie après 1905 : « Pédagogie des libertés » et éducation au droit,"Tissier, Michel"
"[68 phot. de Russie d'Europe en 1896-1897, par le baron de Baye: Kharkov, Ekaterinoslav, Poltava, Lituanie, Kiev, Pskov, Tchérémisses et Votiak du gouvernement de Viatka, Mordves du gouvernement de Penza, Tatars du même gouvernement et de celui de Simbirsk, Bolgary dans le gouvernement de Kazan, phot. des environs de Saratov par B.P. Mertvago]","Mertvago, B.P. (18..-19..?). Photographe"
"[68 phot. de Russie d'Europe en 1896-1897, par le baron de Baye: Kharkov, Ekaterinoslav, Poltava, Lituanie, Kiev, Pskov, Tchérémisses et Votiak du gouvernement de Viatka, Mordves du gouvernement de Penza, Tatars du même gouvernement et de celui de Simbirsk, Bolgary dans le gouvernement de Kazan, phot. des environs de Saratov par B.P. Mertvago]","Baye, Joseph de (1853-1931). Photographe"
Dorena Caroli : L’enfance abandonnée et délinquante dans la Russie soviétique 1917-1937 ,"Bourquin, Jacques"
Livre - Les Spectacles francophones à la cour de Russie (1743-1796) - l'invention d'une société,"Mailhot, Virginie"
"L. S. Gatalova, L. P. Košeleva, L. A. Rogovaja, CK RKP (b) - VKP (b) i nacional'nyj vopros Kniga 1. 1918-1933 gg. (Le Comité central du Parti communiste (bolchevique) de Russie puis d'Union soviétique et la question nationale. Livre 1. 1918-1933), Moscou : ROSSPEN, 2005, Cahiers du monde russe, 47/4","Ohayon, Isabelle"
Images Economiques du Monde 2015. Russie : le retour de puissance ?,"Sanmartin, Olivier"
Images Economiques du Monde 2015. Russie : le retour de puissance ?,"sanmartin, olivier"
Bibliographie des travaux parus en France concernant la Russie et l'U.R.S.S. (année 1962),"Lhéritier, Andrée"
La Russie a-t-elle une grande stratégie au Moyen-Orient ?,"Stepanova, Ekaterina"
Le théâtre médiéval en Russie et en France,"Weisbein, Nicolas"
La réforme de l'administration fédérale en Russie : Simple réaménagement ou transformation en profondeur ?,"Gazier, Anne"
La réforme de l'administration fédérale en Russie : Simple réaménagement ou transformation en profondeur ?,"GAZIER, Anne"
La Russie en quête d’identité,"Boniface, Pascal"
La Russie en quête d’identité,"BONIFACE, Pascal"
"Le Jeu des références dans Le Voyage en Russie de Théophile Gautier, La Maladie du bleu : Art de voyager et art d'écrire chez Théophile Gautier, actes de la journée d'étude organisée par Alain Guyot, CESR-Univ. Grenoble, janv. 2006, Bulletin de la Société Théophile Gautier, n° 29, 2007, p. 153-169","Geisler-Szmulewicz, Anne"
La Virtù Liberata // Cantata à cinque voci // da prodursi il giorno del Gloriosis.mo nome // di S. M. Z. di tutte le Russie // 1765 (manuscrit autographe),"Galuppi, Baldassare (1706-1785). Compositeur"
Musique et opera en Russie et en Europe centrale : Introduction,"Francfort, Didier"
Le droit de l'environnement dans la Russie postsoviétique : responsabilité et prévention des dommages,"Yastrebkova, Olga"
"N. I. Balachov, Les manuscrits des drames espagnols sur la Russie et la tradition humaniste de la littérature dans l'Espagne du XVIIe siècle, Izvestia de l'Académie des Sciences de l' U. R. S. S., série de littérature et de langue, XXIII (1964)","Alexandre, Zviguilsky"
"N. I. Balachov, Les manuscrits des drames espagnols sur la Russie et la tradition humaniste de la littérature dans l'Espagne du XVIIe siècle, Izvestia de l'Académie des Sciences de l' U. R. S. S., série de littérature et de langue, XXIII (1964)","Zviguilsky, Alexandre"
La pauvreté en Russie : un état des lieux.,"Clément, Matthieu"
L'image du monde physique en Russie à la fin du XVIe siècle,"Ross, Nicolas"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Kabardino-Balkarie : Tyrnyaouz, ville industrielle dans la vallée du Baksan","Radvanyi, Jean"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Kabardino-Balkarie : Tyrnyaouz, ville industrielle dans la vallée du Baksan","RADVANYI, Jean"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Kabardino-Balkarie : Tyrnyaouz, ville industrielle dans la vallée du Baksan","Jean, Radvanyi"
