t,a
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Signoli, Michel"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Signoli, M."
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Devriendt, William"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Vette, Thierry"
Sa Majesté Nicolas I.er Empereur de toutes les Russies. Camp de Vosnessensk : [estampe],"Raffet, Denis-Auguste-Marie (1804-1860). Lithographe"
"Le discours du fou dans le récit romantique européen : (Allemagne, France, Russie)","Mesnil-Tellier, Virginie"
"Brésil et Russie, deux économies face à une crise de change","Trotignon, Jérôme"
"Brésil et Russie, deux économies face à une crise de change","TROTIGNON, Jerome"
"Brésil et Russie, deux économies face à une crise de change","Mercier-Suissa, Catherine"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (mai-juillet 2001)","Gélard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (mai-juillet 2001)","Gelard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (mai-juillet 2001)","Patrice, Gélard"
Les échos des idées de Jean Carbonnier en Russie,"Kovler, Anatole I."
Les échos des idées de Jean Carbonnier en Russie,"Kovler, Anatole"
"Pierre Pascal, Histoire de la Russie","Jean, Casevitz"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe centrale et orientale et dans les pays toujours ou anciennement communistes (juillet-octobre 2005)","Gélard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe centrale et orientale et dans les pays toujours ou anciennement communistes (juillet-octobre 2005)","Gelard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe centrale et orientale et dans les pays toujours ou anciennement communistes (juillet-octobre 2005)","Patrice, Gélard"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 1 / section 1 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard (1795-1876)"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 1 / section 1 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard"
"Le cri de la Russie, / par Léonce","Laurençot, Charles Henri Ladislas (1805-1862). Auteur du texte"
"Marie-Claude Maurel, La Campagne collectivisée. Société et espace rural en Russie","Pierre, George"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 3 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard (1795-1876)"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 3 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard"
"Les trois empires asiatiques, Russie, Chine, Japon / R. de Bonand","Bonand, R. de"
À S. M. l'empereur de Russie. [Signé : Bon G. de Sède.],"Sède de Liéoux, Gustave de (Bon)"
Épître à S. M. l'empereur de toutes les Russies. [Signé : Remuzat.],"Remuzat, Ét."
La Cour européenne des droits de l’homme et l’institution du ‘nadzor’ en Russie,"Berramdane, Abdelkhaleq"
La Cour européenne des droits de l’homme et l’institution du ‘nadzor’ en Russie,"Berramdane , Abdelkhaleq"
"Déclaration [d'Alexandre Ier, empereur de Russie, du 31 mars 1814, sur les intentions des puissances alliées à l'égard de la France]","Alexandre I (empereur de Russie ; 1777-1825),"
"Ode à Sa Majesté Alexandre II, empereur de toutes les Russies. Attentat contre le czar, 6 juin 1867. [Signé : E. Gallès.]","Gallès, Édouard"
"L. Léouzon Le Duc. Notes diverses sur la Russie: élections, habitants des campagnes, habitants des villes, clergé, noblesse, littérature, censure, etc.","Léouzon Le Duc, Louis-Antoine (1815-1889)"
Se battre pour le pluralisme : l'expérience de l'Union démocratique en Russie,"Skoubko, Iouri"
De la nouvelle Russie,"Rapacka, Joanna"
"La Russie, de toute éternité","Kliouikova, Katia"
Les perspectives de développement du droit privé en Russie,"Alexeïev, Serguei S."
"Etudes sur la situation intérieure, la vie nationale et les institutions rurales de la Russie","Harthausen-Abbenburg, August F. L. M. Freiherr von (1792-1867)"
"Histoire de la campagne de Russie, pendant l'année 1812 , contenant des détails puisés dans les sources officielles... par Sir Robert Ker Porter, ouvrage accompagné de plans de mouvemens des deux armées pendant leur marche en avant et leur retraite. Traduit de l'anglais sur la 6e édition, par Mr***","Porter, Robert Ker"
Le problème de l'immigration en Russie,"Slater, Wendy"
Le problème de l'immigration en Russie,"Saint-Hilaire, Marie-Claude de"
L’adaptation des acteurs du commerce de détail aux nouvelles règles de l’échange en Russie,"Markine, Maxime"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Serov, Dmitrij O."
Les prisonniers oubliés de la campagne de Russie,"Baty, Régis"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Redin, Dmitrij A."
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Joukovskaïa-Lecerf, Anna"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Joukovskaïa, Anna"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Lecerf, Anna"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Bushkovitch, Paul"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Cernikov, Sergej V."
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Vergara, Juan Camilo"
"Fiscalité, justice et conflit politique en Russie, premier tiers du XVIIIe siècle","Kamenskii, Aleksander"
"Observations sur la puissance de l'Angleterre et sur celle de la Russie, par Charles Dupin,... au sujet du parallèle établi par M. de Pradt entre ces puissances","Dupin, Charles (1784-1873)"
"Observations sur la puissance de l'Angleterre et sur celle de la Russie, par Charles Dupin,... au sujet du parallèle établi par M. de Pradt entre ces puissances","Dupin, Ch."
"Observations sur la puissance de l'Angleterre et sur celle de la Russie, par Charles Dupin,... au sujet du parallèle établi par M. de Pradt entre ces puissances","Dupin, Charles (1784-1873"
Les usages politiques du passé soviétique en Russie,"Morenkova-Perrier, Elena"
"A. Boubou, S. J. : Le Saint-Siège et la Russie. Leurs relations diplomatiques au XIXe siècle, tome Ier : 1814-1847","J., Breteaux"
"Chine, Russie: le grand pivotement","Sapir, Jacques"
"Chine, Russie: le grand pivotement","SAPIR, Jacques"
"Chine, Russie: le grand pivotement","Sapir, jacques"
"Corse, France et Russie. Pozzo di Borgo, 1764-1842, par le Vte Adrien Maggiolo. (Juillet 1890.)","Maggiolo, Adrien (J.-L.-Adrien, Vte). Auteur du texte"
De l'Influence française dans le développement de la science médicale en Russie,"Cheboldaïeff, Inna"
"Les partisans : choses vues en Russie, 1941-1942 (Rééd. augm. d'une préf. inédite de l'auteur) / Saint-Loup (Marc Augier) ; introd. de Jean Mabire","Saint-Loup (1908-1990). Auteur du texte,"
"Individu, famille et population en Russie","Blum, Alain"
"Individu, famille et population en Russie","Le Noir, Alain"
"Individu, famille et population en Russie","BLUM, Alain"
Les travaux topographiques en Russie,"Froidevaux, Henri"
Les travaux topographiques en Russie,"Froidevaux, Henri (1863-1954)"
"""Les évolutions de l'espace en Russie""","Richard, Yann (1948-....)"
"""Les évolutions de l'espace en Russie""","Yann, Richard"
"""Les évolutions de l'espace en Russie""","Richard, Yann,"
"Études sur l'économie nationale de la Russie, par W. Bezobrazof,... Région (centrale) industrielle de Moscou. Tome 2,Partie 1","Bezobrazov, Vladimir Pavlovitch. Auteur du texte"
L'information au cœur des enjeux politiques en Russie,"NIVAT, Anne"
L'information au cœur des enjeux politiques en Russie,"Nivat, Anne"
Les archives du ministère de la Guerre récupérées de Russie,"Sibille, Claire"
Le pouvoir du précédent dans l'histoire : l'impact de la Révolution française en Russie,"Kondratieva, Tamara"
La survie des joint ventures internationales : une étude de l’industrie pétrolière en Russie,"Prévot, Frédéric"
La survie des joint ventures internationales : une étude de l’industrie pétrolière en Russie,"Prevot, Frédéric"
La survie des joint ventures internationales : une étude de l’industrie pétrolière en Russie,"Guallino, Gabriel"
Le rôle du réseau relationnel territorial pour attirer et faciliter l'implantation de PME étrangères: le cas de la région de Kalouga en Russie,"Serval, S."
Le rôle du réseau relationnel territorial pour attirer et faciliter l'implantation de PME étrangères: le cas de la région de Kalouga en Russie,"Pukhlyakova, Ekaterina"
Le rôle du réseau relationnel territorial pour attirer et faciliter l'implantation de PME étrangères: le cas de la région de Kalouga en Russie,"Le Pennec, Ekaterina"
"""Transfaires impériaux : Turquie, Russie"", 15 avril 2015","Kaya, Sümbül"
"1812, la campagne de Russie","OpenEdition,"
L'affaire Gabrielle Russier,"Bouchoux, Corinne"
L'affaire Gabrielle Russier,"Corinne, Bouchoux"
L'affaire Gabrielle Russier,"BOUCHOUX, Corinne"
"S. Tiszkiewicz, SJ, Moralistes de Russie","Wenger, Antoine"
"S. Tiszkiewicz, SJ, Moralistes de Russie","Antoine, Wenger"
"Internet, accélérateur des transformations de la Russie","Nocetti, Julien"
Chronique de Russie,"Martinovitch, E."
La mobilisation des jeunes sur les réseaux sociaux pendant les campagnes électorales : l'analyse comparative entre la France et la Russie,"Pechenkina, Ekaterina"
Carte du théatre de la guerre entre la France et la Russie... / par le Sr Moithey... ; gravé par Vallet...,"Moithey, Maurille-Antoine (1732-1805). Auteur du texte"
Carte du théatre de la guerre entre la France et la Russie... / par le Sr Moithey... ; gravé par Vallet...,"Vallet (17..-18..). Graveur,"
Carte du théatre de la guerre entre la France et la Russie... / par le Sr Moithey... ; gravé par Vallet...,"Jean (17..-1839 ; éditeur). Auteur du texte,"
Les statuts constitutionnels des peuples finno‑ougriens dans la Fédération de Russie,"Krjažkov, Vladimir"
Les débuts du crédit en Russie,"Wladimir, Vodoff"
Les débuts du crédit en Russie,"Vodoff, Wladimir"
Les débuts du crédit en Russie,"Vodoff, Vladimir"
Les débuts du crédit en Russie,"Vladimir, Vodoff"
"Guerre d'Orient. Odes sur l'agression de la Russie, l'intervention de la France, la bataille de l'Alma / par Bouvier fils","Bouvier, M.-A."
"Lettre d'Alexis Carrel à Frédéric R. Coudert, Compiègne, 5 juin 1917, concernant la réception triomphale du maréchal Joffre à New York, l’importance matérielle et morale de l’entrée en guerre des Etats-Unis pour une France fatiguée par 3 ans de guerre et déçue par la Russie.","Carrel, Alexis (1873-1944)"
Les protestants en Russie,"Peretti, Anne de"
Les protestants en Russie,"Podberezskij, Igor V."
"Publications parues en français sur la Russie, d’octobre 1998 à mai 1999","Niqueux, Michel"
"Publications parues en français sur la Russie, d’octobre 1998 à mai 1999","Michel, Niqueux"
Les flux migratoires des Russes entre Asie centrale et Russie,"Peyrouse, Sébastien"
Les flux migratoires des Russes entre Asie centrale et Russie,"PEYROUSE, Sébastien"
"Leonid Heller et Michel Niqueux, Histoire de l'utopie en Russie","Jacques, Catteau"
"Lettre des gentilshommes français, réunis à Coblenz, à Sa Majesté l'impératrice de toutes les Russies ([Reprod.]) / [signé : M. le comte de Macarty]","Maccarthy, Robert de"
"Prosper Mérimée, Œuvres complètes, section III Histoire, tome 3, Histoire de Russie, I Les Faux Démétrius","Sabourin, Lise"
Carte generale de l'empire de Russie,"Condet, Johannes"
 Les syndicats en Russie,"Désert, Myriam"
 Les syndicats en Russie,"Myriam, Désert"
 Les syndicats en Russie,"Desert, Myriam"
 Les syndicats en Russie,"DESERT, Myriam"
 Les syndicats en Russie,"Myriam, Desert"
"Observations sur la Russie, relatives à la Révolution de France et à la balance politique de l'Europe, par M. de Froment,... 2e édition...","Froment, Anne"
"Observations sur la Russie, relatives à la Révolution de France et à la balance politique de l'Europe, par M. de Froment,... 2e édition...","Froment, François-Marie"
"Observations sur la Russie, relatives à la Révolution de France et à la balance politique de l'Europe, par M. de Froment,... 2e édition...","Froment, François-Marie (1759-1825)"
"Différences économiques régionales, transition et politiques de stabilisation en Russie","Sapir, Jacques"
"Différences économiques régionales, transition et politiques de stabilisation en Russie","SAPIR, Jacques"
"Différences économiques régionales, transition et politiques de stabilisation en Russie","Sapir, jacques"
"Thesaurus des institutions de l'ancienne Russie. 1, Le monde rural / Denise Eeckaute","Eeckaute-Bardery, Denise (1914-2006). Auteur du texte"
"Manuel des braves, ou Victoires des armées françaises en Allemagne, en Espagne, en Russie, en France.... T. II. - 1817. Planche / , par MM. Léon Thiessé, Eugène B***, et plusieurs militaires","Thiessé, Léon (1793-1854)"
"Manuel des braves, ou Victoires des armées françaises en Allemagne, en Espagne, en Russie, en France.... T. II. - 1817. Planche / , par MM. Léon Thiessé, Eugène B***, et plusieurs militaires","Balland, Eugène-Amédée (1796-1830?)"
"La France et la Russie, Napoléon III et le czar / par Ch. Piel de Troismonts","Piel de Troismonts, Charles (18..-1877)"
"Histoire abrégée de Russie, depuis l'origine de la monarchie jusqu'à nos jours, par M. de Marlès,...","Marlès, Jules Lacroix de (17..-1850?). Auteur du texte"
"Organisation politique de l'Europe, proposée à LL. MM. les empereurs et rois, d'Autriche, de Russie, de France, d'Espagne, d'Angleterre, de Prusse, etc...","Pasero da Corneliano, Carlo (1790-1845)"
"Contes et légendes de Russie, réunis et présentés par Galina Kabakova, traduits par Anna Stroeva","Michel, Cadot"
"Nathalie Labrecque-Pervouchine. — L'iconostase : une évolution historique en Russie, 1982","Maria, Cheremeteff"
"Lefèvre-Toussaint (Geneviève). Plaidoyer pour une âme. L'affaire Gabrielle Russier, Paris, Denoël, 1970, 231 p.","Lefèvre-Toussaint (Geneviève),"
La liberté de la presse en Russie,"Leontiev, Mikhaïl"
